,school,region,start_median_salary,mid_median_salary,mid_per_10,mid_per_25,mid_per_75,mid_per_90,school_type
68,Utah Valley State College,Western,42400.0,67100.0,,44100.0,84900.0,,State
69,Evergreen State College,Western,39500.0,63900.0,38800.0,47200.0,91600.0,120000.0,Liberal Arts
70,Southern Utah University,Western,41900.0,56500.0,,39700.0,78400.0,,State
71,Montana State University - Billings,Western,37900.0,50600.0,,31800.0,78500.0,,State
72,University of Notre Dame,Midwestern,56300.0,116000.0,66400.0,85100.0,163000.0,235000.0,
73,University Of Chicago,Midwestern,53400.0,113000.0,62200.0,83300.0,174000.0,255000.0,
74,Carleton College,Midwestern,47500.0,103000.0,,69400.0,141000.0,,Liberal Arts
75,Illinois Institute of Technology (IIT),Midwestern,56000.0,97800.0,56100.0,77400.0,121000.0,165000.0,Engineering
76,Case Western Reserve University,Midwestern,56200.0,96500.0,54900.0,76500.0,123000.0,168000.0,
77,University of Illinois at Urbana-Champaign (UIUC),Midwestern,52900.0,96100.0,48200.0,68900.0,132000.0,177000.0,Party
78,University of Illinois at Urbana-Champaign (UIUC),Midwestern,52900.0,96100.0,48200.0,68900.0,132000.0,177000.0,State
79,Northwestern University,Midwestern,52700.0,95900.0,51900.0,69100.0,144000.0,205000.0,
80,University of Missouri - Rolla (UMR),Midwestern,57100.0,95800.0,67600.0,80400.0,122000.0,166000.0,State
81,South Dakota School of Mines & Technology,Midwestern,55800.0,93400.0,71500.0,81900.0,122000.0,147000.0,Engineering
82,University of Michigan,Midwestern,52700.0,93000.0,50900.0,69400.0,128000.0,182000.0,State
83,Purdue University,Midwestern,51400.0,90500.0,49900.0,67400.0,121000.0,168000.0,State
84,Marquette University,Midwestern,48500.0,88400.0,49500.0,67400.0,121000.0,184000.0,
85,DePauw University,Midwestern,41400.0,88200.0,49500.0,57400.0,133000.0,185000.0,Liberal Arts
86,University of Wisconsin (UW) - Madison,Midwestern,48900.0,87800.0,47400.0,62400.0,118000.0,170000.0,State
87,Bradley University,Midwestern,47000.0,87300.0,45900.0,64900.0,113000.0,151000.0,
88,St. Olaf College,Midwestern,45300.0,86200.0,41300.0,61000.0,120000.0,185000.0,Liberal Arts
89,Michigan State University (MSU),Midwestern,46300.0,85300.0,44200.0,61500.0,119000.0,170000.0,State
90,DePaul University,Midwestern,46400.0,84800.0,50300.0,63900.0,115000.0,160000.0,
91,Iowa State University,Midwestern,45400.0,84600.0,44400.0,60000.0,109000.0,147000.0,State
92,University of Minnesota,Midwestern,46200.0,84200.0,49000.0,63200.0,112000.0,148000.0,State
93,"Indiana University (IU), Bloomington",Midwestern,46300.0,84000.0,43600.0,60400.0,119000.0,178000.0,Party
94,"Indiana University (IU), Bloomington",Midwestern,46300.0,84000.0,43600.0,60400.0,119000.0,178000.0,State
95,University of Iowa (UI),Midwestern,44700.0,83900.0,43300.0,61100.0,116000.0,163000.0,Party
96,University of Iowa (UI),Midwestern,44700.0,83900.0,43300.0,61100.0,116000.0,163000.0,State
97,Ohio State University (OSU),Midwestern,44900.0,83700.0,45500.0,60700.0,116000.0,162000.0,State
98,Denison University,Midwestern,42000.0,83500.0,,62100.0,122000.0,,Liberal Arts
99,University of Illinois at Chicago,Midwestern,47500.0,81700.0,44700.0,58800.0,110000.0,146000.0,State
100,Oberlin College,Midwestern,43400.0,81600.0,,46400.0,128000.0,,Liberal Arts
101,University of Kansas,Midwestern,42400.0,81600.0,44800.0,57200.0,115000.0,156000.0,State
102,University of Missouri - Columbia,Midwestern,41700.0,81000.0,43500.0,57100.0,111000.0,156000.0,State
103,University of Nebraska,Midwestern,45700.0,80900.0,42200.0,56600.0,113000.0,156000.0,State
104,Northern Illinois University (NIU),Midwestern,43600.0,80800.0,43900.0,60200.0,111000.0,161000.0,State
105,Gustavus Adolphus College,Midwestern,44500.0,80600.0,,49300.0,101000.0,,Liberal Arts
106,University of North Dakota,Midwestern,44000.0,80600.0,43400.0,56400.0,111000.0,157000.0,State
107,Kansas State University (KSU),Midwestern,43300.0,79000.0,37200.0,54100.0,106000.0,138000.0,State
